starting_grid,laps,total_laptime,fastestLapTime,fastestLapSpeed,pitstop_count,pitstop_duration,average_quali,lastest_standing,result_position
2,57,2895.6,90.6,210.815,2,18.155,85.3,3,1
1,57,2903.66,90.6,210.608,2,18.16833333,84.6,4,1
3,57,2905.243,90.0,212.235,2,18.155,85.63333333,2,1
8,57,2919.93,89.0,214.51,2,18.16333333,86.03333333,1,0
6,57,2954.579,92.3,206.861,2,18.16333333,85.66666667,9,0
19,57,2967.681,92.9,205.582,1,18.15666667,88.3,17,0
10,57,2969.799,92.8,205.646,2,18.15333333,86.25,16,0
16,57,2970.753,92.7,205.886,2,18.15,86.55,14,0
7,57,2971.28,91.7,208.253,2,18.16666667,86.03333333,7,0
5,57,2972.433,91.5,208.606,2,18.15666667,85.96666667,6,0
13,57,2978.999,93.0,205.376,2,18.13833333,87.4,18,0
14,57,2981.206,92.5,206.494,3,15.77166667,87.5,10,0
9,57,2987.299,92.8,205.764,2,18.12166667,86.2,15,0
2,57,2014.7,94.5,206.21,1,24.934,90.46666667,1,1
4,57,2024.982,95.2,204.745,1,24.72,90.83333333,3,1
1,57,2044.848,94.7,205.785,1,24.512,90.3,2,1
5,57,2077.194,96.1,202.814,1,24.541,91.13333333,9,0
9,57,2092.999,96.1,202.749,1,25.739,91.9,11,0
10,57,2095.629,95.5,204.004,3,25.129,91.85,7,0
1,56,2333.9,100.4,195.419,1,22.831,96.43333333,6,1
4,56,2371.676,100.6,195.046,2,22.276,96.46666667,9,1
6,56,2379.836,101.5,193.248,2,22.607,97.0,14,1
2,56,2386.588,101.0,194.264,3,22.426,96.8,11,0
3,56,2399.772,100.6,195.079,3,22.832,96.46666667,8,0
10,56,2409.411,101.8,192.737,1,22.124,97.65,16,0
9,56,2413.168,100.4,195.456,3,23.13,97.56666667,5,0
8,56,2418.027,101.5,193.364,2,22.832,97.26666667,12,0
5,56,2420.092,101.6,193.225,2,22.63,96.86666667,15,0
7,56,2428.183,101.8,192.679,3,22.351,97.36666667,17,0
11,56,2431.153,102.2,191.962,1,22.874,98.65,19,0
12,56,2435.89,100.3,195.652,3,22.51,98.35,3,0
1,53,1962.0,99.1,212.452,1,29.709,95.6,1,1
10,53,1987.022,100.3,209.969,1,30.001,95.9,4,1
3,53,1993.998,100.1,210.315,1,30.498,96.8,3,1
2,53,2012.217,101.2,208.115,1,29.841,97.1,6,0
4,53,2036.427,99.7,211.07,1,29.551,97.33333333,2,0
4,66,2500.0,88.8,188.682,2,22.348,83.3,6,1
5,66,2500.616,88.5,189.274,1,22.107,83.46666667,4,1
6,66,2505.581,88.0,190.488,3,21.603,83.7,2,1
3,66,2543.95,88.2,189.98,3,21.683,83.33333333,3,0
7,66,2545.271,89.1,188.12,1,21.856,83.93333333,8,0
8,66,2561.395,89.7,186.899,1,22.874,84.06666667,11,0
9,66,2579.538,89.8,186.612,2,21.918,84.16666667,15,0
18,66,2580.707,89.2,187.789,1,21.384,84.9,9,0
3,78,3569.1,77.9,154.135,1,26.315,74.26666667,1,1
1,78,3576.352,78.3,153.437,1,25.054,74.3,3,1
7,78,3582.925,78.4,153.139,2,25.608,75.03333333,4,1
4,78,3584.946,78.0,154.005,1,25.114,74.5,2,0
9,78,3654.176,79.2,151.739,1,25.512,75.33333333,8,0
5,78,3662.099,79.2,151.62,1,25.215,75.0,11,0
2,78,3662.39,78.8,152.523,1,26.698,74.23333333,6,0
